Country,q#3,q#4,q#5_min,q#5_max,q#5_avg,q#5_var,q#6_min,q#6_max,q#6_avg,q#6_var,q#7_min,q#7_max,q#7_avg,q#7_var,q#8_min,q#8_max,q#8_avg,q#8_var,q#9_min,q#9_max,q#9_avg,q#9_var,q#10_min,q#10_max,q#10_avg,q#10_var,q#11,q#12_min,q#12_max,q#12_avg,q#12_var,q#13_min,q#13_max,q#13_avg,q#13_var,q#14,q#15,q#16,population,median_age,# of people aged 65 older,# of people aged 70 older,economic performance,death rates due to heart disease,diabetes prevalence,#of female smokers,#of male smokers,handwashing facilities,hospital beds per thousand people,life expectancy,human development index
Afghanistan,58843.0,2582.0,0.51,1.53,1.0399489795918357,0.0790198953561016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240000.0,0.0,240000.0,38928341.0,18.6,2.581,1.337,1803.987,597.029,9.59,0.0,0.0,37.746,0.5,64.83,0.511
Africa,4506744.0,120132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12011465.0,4728173.0,16952015.0,1340598113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,130537.0,2378.0,0.66,1.66,1.0506549118387905,0.03320712776554636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4562.0,1418.4976076555024,1606403.5227215495,592932.0,0.032,0.409,0.1884331683168317,0.006745230682040969,2.4,31.6,7.110396039603962,25.37073350651888,6073.0,655.0,400064.0,2877800.0,38.0,13.188,8.643,11803.431,304.195,10.08,7.1,51.2,0.0,2.89,78.57,0.795
Algeria,120922.0,3207.0,0.73,2.0,1.043458646616542,0.05610833851546148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,43851043.0,29.1,6.211,3.857,13913.839,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
Andorra,13060.0,124.0,0.09,1.69,0.9579648241206017,0.165384551526477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177079.0,0.064,0.157,0.0921588785046729,0.00043667569220019254,6.4,15.6,11.356074766355139,5.3925565551576575,21733.0,4681.0,26414.0,77265.0,0.0,0.0,0.0,0.0,109.135,7.97,29.0,37.8,0.0,0.0,83.73,0.868
Angola,25609.0,579.0,0.86,1.32,1.0790251572327045,0.01661068490170486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456349.0,0.0,456349.0,32866268.0,16.8,2.405,1.362,5819.495,276.045,3.94,0.0,0.0,26.664,0.0,61.15,0.581
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6115.0,783.0,6898.0,15002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.88,0.0
Antigua and Barbuda,1227.0,31.0,0.35,1.28,0.7599521531100483,0.06774880153842634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29754.0,0.0,29754.0,97928.0,32.1,6.933,4.631,21490.943,191.511,13.17,0.0,0.0,0.0,3.8,77.02,0.778
Argentina,2860884.0,61644.0,0.86,2.17,1.1391999999999995,0.041288359999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,64066.0,19031.09977324263,203212805.16011348,8392715.0,0.012,0.439,0.21960229885057464,0.0122895912590831,2.3,83.3,7.427356321839086,107.73968841326447,6263849.0,871100.0,7134949.0,45195777.0,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,0.0,5.0,76.67,0.845
Armenia,213288.0,4018.0,0.63,1.6,1.0800748129675815,0.05838278742047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,6354.0,2830.2229299363057,2051247.0394742186,963225.0,0.049,0.504,0.20393596059113303,0.013284813632944254,2.0,20.4,7.064039408866998,21.24461816593461,565.0,0.0,565.0,2963234.0,35.7,11.232,7.571,8787.58,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
